pixel	charge_cc_ff	charge_averagewf_ff
231	0.96733654	1.009155
232	0.9558616	0.97926074
233	1.0046953	1.0663468
234	0.98970205	1.0385765
235	1.011895	1.0861626
236	1.0591706	1.1773815
237	0.9707615	1.027213
238	1.0163351	1.0638692
239	0.9567966	0.99269754
240	0.8763356	0.8781312
241	0.96075433	0.9740894
242	0.9117937	0.92345065
243	0.92192644	0.9544811
244	0.9504249	0.9398834
245	0.9766954	0.95391256
246	1.0065888	1.0431936
247	0.99026227	1.0024799
248	0.99840784	1.0019478
249	1.0256591	0.96889895
250	1.0000939	0.98415285
251	1.032704	1.034787
252	0.97390026	0.9757165
253	1.0271399	0.9989057
254	0.98339283	0.9642009
255	0.9731776	0.9714835
256	1.0830845	1.2422837
257	1.056931	1.1689721
258	0.95224106	0.99143535
259	1.020158	1.089848
260	1.0502998	1.1497464
261	1.0893067	1.1998618
262	1.0252315	1.110983
263	0.9932462	1.0568508
264	1.0793139	1.1756456
265	0.993601	1.0876988
266	0.9976961	1.0106727
267	1.0895323	1.1601452
268	0.96813035	0.9828091
269	0.98556936	1.0515409
270	0.9969682	1.0578319
271	1.0371356	1.1121994
272	1.1237814	1.2196091
273	0.9706005	0.98269165
274	0.9629604	1.0294828
275	1.0620283	1.1486632
276	0.99759567	1.0295308
277	1.057824	1.0553359
278	1.0724826	1.099172
279	0.9924264	1.0133915
280	1.0943558	1.1205283
281	1.0515945	1.0746564
282	1.067835	1.1082594
283	1.0446618	1.0436549
284	1.0685842	1.107087
285	0.96319705	0.95882684
286	0.9700721	0.9650263
287	0.9486633	0.9826719
288	1.1260632	1.275166
289	1.0615063	1.2162216
290	0.9757087	1.0520556
291	1.0233474	1.0437526
292	1.0126083	1.0806766
293	0.96410125	1.0072757
294	1.0437267	1.1501263
295	1.0055639	1.053868
296	0.9891673	1.019102
297	0.9919865	1.0821698
298	0.99590814	1.0501211
299	0.96321523	1.0266107
300	1.1402752	1.2893373
301	0.9989645	1.0754805
302	1.0653301	1.1096969
303	0.9363474	0.9632892
304	1.3349699	1.3263048
305	0.9983632	0.97936964
306	0.9050531	0.8755139
307	0.9121645	0.89229506
308	1.0181316	0.99827105
309	0.94623154	0.9304339
310	1.1125137	1.158629
311	0.9123509	0.92183155
312	1.0052526	0.9677934
313	0.9644652	0.89783835
314	1.0210669	0.9869705
315	0.97566724	0.9332469
316	0.99447596	0.98439837
317	1.1108205	1.0778615
318	0.97741103	0.9494316
319	1.0851134	1.0814023
